,product_name,retail_price,discounted_price,brand,Sub Category,Category_1,Date,Time,Year,Month,Day
0,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
1,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor, Living Room Furniture ,Furniture ,2016-03-25,22:59:23,2016.0,3.0,25.0
2,AW Bellies,999.0,499.0,AW, Women's Footwear ,Footwear ,2016-03-25,22:59:23,2016.0,3.0,25.0
3,Alisha Solid Women's Cycling Shorts,699.0,267.0,Alisha, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
4,Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,Sicons, Grooming ,Pet Supplies ,2016-03-25,22:59:23,2016.0,3.0,25.0
5,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,Eternal Gandhi,,Eternal Gandhi Super Series Crystal Paper Weight...,2016-03-25,22:59:23,2016.0,3.0,25.0
6,Alisha Solid Women's Cycling Shorts,1199.0,479.0,Alisha, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
7,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor, Living Room Furniture ,Furniture ,2016-03-25,22:59:23,2016.0,3.0,25.0
8,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,dilli bazaaar, Women's Footwear ,Footwear ,2016-03-25,22:59:23,2016.0,3.0,25.0
9,Alisha Solid Women's Cycling Shorts,1199.0,479.0,Alisha, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
10,Ladela Bellies,1724.0,950.0,Ladela, Women's Footwear ,Footwear ,2016-03-25,22:59:23,2016.0,3.0,25.0
11,Carrel Printed Women's,2299.0,910.0,Carrel, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
12,Sicons All Purpose Tea Tree Dog Shampoo,,,Sicons, Grooming ,Pet Supplies ,2016-03-25,22:59:23,2016.0,3.0,25.0
13,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
14,Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,Freelance, School Supplies ,Pens & Stationery ,2016-03-25,22:59:23,2016.0,3.0,25.0
15,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
16,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor, Living Room Furniture ,Furniture ,2016-03-25,22:59:23,2016.0,3.0,25.0
17,Style Foot Bellies,899.0,449.0,Style Foot, Women's Footwear ,Footwear ,2016-03-25,22:59:23,2016.0,3.0,25.0
18,Carrel Printed Women's,2499.0,999.0,Carrel, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
19,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor, Living Room Furniture ,Furniture ,2016-03-25,22:59:23,2016.0,3.0,25.0
20,Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,Sicons, Grooming > Skin & Coat Care ,Pet Supplies ,2016-03-25,22:59:23,2016.0,3.0,25.0
21,Alisha Solid Women's Cycling Shorts,,,Alisha, Women's Clothing ,Clothing ,2016-03-25,22:59:23,2016.0,3.0,25.0
22,dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,dongli, Kids' Clothing ,Clothing ,2016-03-31,15:22:07,2016.0,3.0,31.0
23,SWAGGA Women Clogs,1500.0,1500.0,SWAGGA, Women's Footwear ,Footwear ,2016-03-31,15:22:07,2016.0,3.0,31.0
24,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,Kennel, Toys ,Pet Supplies ,2016-01-03,20:56:50,2016.0,1.0,3.0
25,Glus Wedding Lingerie Set,1299.0,699.0,, Women's Clothing ,Clothing ,2016-01-03,20:56:50,2016.0,1.0,3.0
26,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,, Other Sports ,Sports & Fitness ,2016-01-03,20:56:50,2016.0,1.0,3.0
27,Bulaky vanity case Jewellery Vanity Case,499.0,390.0,, Makeup ,Beauty and Personal Care ,2016-01-03,20:56:50,2016.0,1.0,3.0
28,FDT Women's Leggings,699.0,309.0,, Women's Clothing ,Clothing ,2016-01-03,20:56:50,2016.0,1.0,3.0
29,Madcaps C38GR30 Men's Cargos,2199.0,1699.0,, Men's Clothing ,Clothing ,2016-01-03,20:56:50,2016.0,1.0,3.0
30,Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,Bengal Blooms,,Bengal Blooms Rose Artificial Plant  with Pot (3...,2016-05-11,09:26:02,2016.0,5.0,11.0
31,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,Indcrown, Women's Clothing ,Clothing ,2016-06-24,16:24:13,2016.0,6.0,24.0
32,Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,Shopmania, Diaries & Notebooks ,Pens & Stationery ,2016-06-24,16:24:13,2016.0,6.0,24.0
33,Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,Shopmania, Diaries & Notebooks ,Pens & Stationery ,2016-06-24,16:24:13,2016.0,6.0,24.0
34,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0,Tiara Diaries, Diaries & Notebooks ,Pens & Stationery ,2016-06-24,16:24:13,2016.0,6.0,24.0
35,KAJCI Embroidered Women's Waistcoat,1200.0,699.0,KAJCI, Women's Clothing ,Clothing ,2016-03-03,07:19:26,2016.0,3.0,3.0
36,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,Packman, Office Supplies ,Pens & Stationery ,2016-03-03,07:19:26,2016.0,3.0,3.0
37,Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,Pick Pocket, Women's Clothing ,Clothing ,2016-03-03,07:19:26,2016.0,3.0,3.0
38,Angelfish Silk Potali Potli,999.0,399.0,Angelfish, Bags ,"Bags, Wallets & Belts ",2016-03-03,07:19:26,2016.0,3.0,3.0
39,Oye Boy's Dungaree,899.0,764.0,Oye, Kids' Clothing ,Clothing ,2016-03-03,07:19:26,2016.0,3.0,3.0
40,Nuride Canvas Shoes,1999.0,1349.0,Nuride, Women's Footwear ,Footwear ,2016-05-26,06:31:26,2016.0,5.0,26.0
41,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,OM SHIVAKRITI, Showpiece ,Home Decor & Festive Needs ,2016-05-26,06:31:26,2016.0,5.0,26.0
42,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,Himmlisch, Accessories & Spare parts ,Automotive ,2016-05-26,06:31:26,2016.0,5.0,26.0
43,Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,Rapter, Tools ,Tools & Hardware ,2016-04-05,17:56:58,2016.0,4.0,5.0
44,Vishudh Printed Women's Straight Kurta,999.0,499.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
45,Vishudh Printed Women's Straight Kurta,899.0,449.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
46,Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,Vishudh,,Vishudh Printed Women's Anarkali Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
47,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,BuildTrack,,BuildTrack PIR Wireless Motion Sensor - One Swit...,2016-04-05,17:56:58,2016.0,4.0,5.0
48,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,Skayvon,,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...,2016-04-05,17:56:58,2016.0,4.0,5.0
49,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA,,MASARA Solid Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
50,Vishudh Printed Women's Straight Kurta,899.0,449.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
51,Rapter BNC-047 BNC Wire Connector,1299.0,899.0,Rapter, Tools ,Tools & Hardware ,2016-04-05,17:56:58,2016.0,4.0,5.0
52,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0,Skayvon,,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...,2016-04-05,17:56:58,2016.0,4.0,5.0
53,Vishudh Printed Women's Straight Kurta,899.0,449.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
54,Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0,Behringer,,Behringer Xenyx 502 Analog Sound Mixer,2016-04-05,17:56:58,2016.0,4.0,5.0
55,Vishudh Printed Women's Straight Kurta,899.0,449.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
56,Vishudh Printed Women's Straight Kurta,899.0,449.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
57,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA,,MASARA Solid Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
58,MASARA Solid Women's Straight Kurta,1399.0,550.0,MASARA,,MASARA Solid Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
59,Roadster Men's Zipper Solid Cardigan,1399.0,699.0,Roadster, Men's Clothing ,Clothing ,2016-04-05,17:56:58,2016.0,4.0,5.0
60,Vishudh Printed Women's Straight Kurta,999.0,499.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
61,Noor Embroidered Women's Straight Kurta,1649.0,849.0,Noor,,Noor Embroidered Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
62,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA,,MASARA Solid Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
63,Vishudh Printed Women's Straight Kurta,899.0,449.0,Vishudh,,Vishudh Printed Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
64,Libas Printed Women's A-line Kurta,899.0,449.0,Libas,,Libas Printed Women's A-line Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
65,Libas Printed Women's Anarkali Kurta,1849.0,924.0,Libas,,Libas Printed Women's Anarkali Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
66,MASARA Solid Women's Straight Kurta,999.0,499.0,MASARA,,MASARA Solid Women's Straight Kurta,2016-04-05,17:56:58,2016.0,4.0,5.0
67,HRS ULTIMATE BOY Chest Pads,440.0,395.0,HRS, Team Sports ,Sports & Fitness ,2016-04-30,03:22:56,2016.0,4.0,30.0
68,Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,Vermello, Belts ,"Bags, Wallets & Belts ",2016-04-30,03:22:56,2016.0,4.0,30.0
69,HRS CLUB BOY Thigh Pads,280.0,250.0,HRS, Team Sports ,Sports & Fitness ,2016-04-30,03:22:56,2016.0,4.0,30.0
70,Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,Ligans NY, Belts ,"Bags, Wallets & Belts ",2016-04-30,03:22:56,2016.0,4.0,30.0
71,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0,Elegance, Curtains & Accessories ,Home Furnishing ,2016-04-30,03:22:56,2016.0,4.0,30.0
72,Liza Women Wedges,1990.0,1393.0,Liza, Women's Footwear ,Footwear ,2016-04-30,03:22:56,2016.0,4.0,30.0
73,HRS ULTIMATE BOY Elbow Pads,250.0,230.0,HRS, Team Sports ,Sports & Fitness ,2016-04-30,03:22:56,2016.0,4.0,30.0
74,Sathiyas Cotton Bath Towel,600.0,449.0,Sathiyas, Baby Bath & Skin ,Baby Care ,2016-04-30,03:22:56,2016.0,4.0,30.0
75,HRS ULTIMATE MEN Chest Pads,440.0,395.0,HRS, Team Sports ,Sports & Fitness ,2016-04-30,03:22:56,2016.0,4.0,30.0
